Substrate,Protein,Enzyme,Temperature,pH,Time,Volume,Base
10,33,1,54.9,9.5,0,0,2.007
10,33,1,54.9,9.51,5,0,2.007
10,33,1,54.9,9.49,10,0,2.007
10,33,1,54.9,9.49,15,0,2.007
10,33,1,54.9,9.47,20,0,2.007
10,33,1,54.9,9.47,25,0,2.007
10,33,1,54.9,9.45,30,0,2.007
10,33,1,54.9,9.45,35,0,2.007
10,33,1,54.9,9.44,40,0,2.007
10,33,1,54.9,9.43,45,0,2.007
10,33,1,54.9,9.43,50,0,2.007
10,33,1,54.9,9.43,55,0,2.007
10,33,1,54.9,9.4,60,0,2.007
10,33,1,54.9,9.39,65,0,2.007
10,33,1,54.9,9.39,70,0,2.007
10,33,1,54.9,9.39,75,0,2.007
10,33,1,54.9,9.37,80,0,2.007
10,33,1,54.9,9.38,85,0.06,2.007
10,33,1,54.9,9.38,90,0.12,2.007
10,33,1,54.9,9.38,95,0.18,2.007
10,33,1,54.9,9.37,100,0.24,2.007
10,33,1,54.9,9.35,105,0.3,2.007
10,33,1,54.9,9.35,110,0.36,2.007
10,33,1,54.9,9.36,115,0.42,2.007
10,33,1,54.9,9.34,120,0.48,2.007
10,33,1,54.9,9.34,125,0.54,2.007
10,33,1,54.9,9.33,130,0.6,2.007
10,33,1,54.9,9.33,135,0.66,2.007
10,33,1,54.9,9.33,140,0.72,2.007
10,33,1,54.9,9.34,145,0.78,2.007
10,33,1,54.9,9.32,150,0.84,2.007
10,33,1,54.9,9.32,155,0.9,2.007
10,33,1,54.9,9.32,160,0.96,2.007
10,33,1,54.9,9.32,165,1.02,2.007
10,33,1,54.9,9.32,170,1.08,2.007
10,33,1,54.9,9.32,175,1.14,2.007
10,33,1,54.9,9.3,180,1.2,2.007
10,33,1,54.9,9.3,185,1.26,2.007
10,33,1,54.9,9.32,190,1.32,2.007
10,33,1,54.9,9.31,195,1.38,2.007
10,33,1,54.9,9.3,200,1.44,2.007
10,33,1,54.9,9.32,205,1.5,2.007
10,33,1,54.9,9.33,210,1.56,2.007
10,33,1,54.9,9.3,215,1.62,2.007
10,33,1,54.9,9.31,220,1.68,2.007
10,33,1,54.9,9.31,225,1.74,2.007
10,33,1,54.9,9.31,230,1.8,2.007
10,33,1,54.9,9.31,235,1.86,2.007
10,33,1,54.9,9.31,240,1.92,2.007
10,33,1,54.9,9.3,245,1.98,2.007
10,33,1,54.9,9.32,250,2.04,2.007
10,33,1,54.9,9.32,255,2.1,2.007
10,33,1,54.9,9.31,260,2.16,2.007
10,33,1,54.9,9.31,265,2.22,2.007
10,33,1,54.9,9.31,270,2.28,2.007
10,33,1,54.9,9.31,275,2.34,2.007
10,33,1,54.9,9.33,280,2.4,2.007
10,33,1,54.9,9.32,285,2.46,2.007
10,33,1,54.9,9.34,290,2.52,2.007
10,33,1,54.9,9.35,295,2.58,2.007
10,33,1,54.9,9.33,300,2.64,2.007
10,33,1,55,9.32,305,2.7,2.007
10,33,1,54.9,9.34,310,2.76,2.007
10,33,1,54.9,9.34,315,2.82,2.007
10,33,1,54.9,9.34,320,2.88,2.007
10,33,1,54.9,9.33,325,2.94,2.007
10,33,1,54.9,9.34,330,3,2.007
10,33,1,54.9,9.34,335,3.06,2.007
10,33,1,54.9,9.37,340,3.12,2.007
10,33,1,54.9,9.37,345,3.18,2.007
10,33,1,54.9,9.36,350,3.24,2.007
10,33,1,54.9,9.35,355,3.3,2.007
10,33,1,54.9,9.37,360,3.36,2.007
10,33,1,54.9,9.37,365,3.42,2.007
10,33,1,54.9,9.37,370,3.48,2.007
10,33,1,54.9,9.39,375,3.54,2.007
10,33,1,54.9,9.38,380,3.6,2.007
10,33,1,54.9,9.39,385,3.66,2.007
10,33,1,54.9,9.38,390,3.72,2.007
10,33,1,54.9,9.37,395,3.78,2.007
10,33,1,54.9,9.4,400,3.84,2.007
10,33,1,54.9,9.41,405,3.9,2.007
10,33,1,54.9,9.41,410,3.96,2.007
10,33,1,54.9,9.4,415,4.02,2.007
10,33,1,54.9,9.38,420,4.08,2.007
10,33,1,54.9,9.39,425,4.14,2.007
10,33,1,54.9,9.43,430,4.2,2.007
10,33,1,54.9,9.42,435,4.26,2.007
10,33,1,54.9,9.42,440,4.32,2.007
10,33,1,54.9,9.42,445,4.38,2.007
10,33,1,54.9,9.42,450,4.44,2.007
10,33,1,54.9,9.41,455,4.5,2.007
10,33,1,54.9,9.46,460,4.56,2.007
10,33,1,54.9,9.45,465,4.62,2.007
10,33,1,54.9,9.44,470,4.68,2.007
10,33,1,54.9,9.44,475,4.74,2.007
10,33,1,54.9,9.44,480,4.8,2.007
10,33,1,54.9,9.43,485,4.86,2.007
10,33,1,54.9,9.44,490,4.92,2.007
10,33,1,54.9,9.49,495,4.98,2.007
10,33,1,54.9,9.51,500,5.04,2.007
10,33,1,54.9,9.5,505,5.1,2.007
10,33,1,54.9,9.49,510,5.16,2.007
10,33,1,54.9,9.49,515,5.22,2.007
10,33,1,54.9,9.5,520,5.28,2.007
10,33,1,54.9,9.5,525,5.34,2.007
10,33,1,54.9,9.51,530,5.4,2.007
10,33,1,54.9,9.49,535,5.46,2.007
10,33,1,54.9,9.49,540,5.52,2.007
10,33,1,54.9,9.49,545,5.58,2.007
10,33,1,54.9,9.52,550,5.64,2.007
10,33,1,54.9,9.51,555,5.7,2.007
10,33,1,54.9,9.49,560,5.76,2.007
10,33,1,54.9,9.48,565,5.82,2.007
10,33,1,54.9,9.49,570,5.88,2.007
10,33,1,54.9,9.5,575,5.94,2.007
10,33,1,54.9,9.52,580,6,2.007
10,33,1,54.9,9.53,585,6.06,2.007
10,33,1,54.9,9.53,590,6.12,2.007
10,33,1,54.9,9.52,595,6.18,2.007
10,33,1,54.9,9.54,600,6.24,2.007
10,33,1,54.9,9.53,605,6.3,2.007
10,33,1,54.9,9.58,610,6.36,2.007
10,33,1,54.9,9.55,615,6.42,2.007
10,33,1,54.9,9.54,620,6.48,2.007
10,33,1,54.9,9.54,625,6.54,2.007
10,33,1,54.9,9.54,630,6.6,2.007
10,33,1,54.9,9.54,635,6.66,2.007
10,33,1,54.9,9.6,640,6.72,2.007
10,33,1,54.9,9.59,645,6.78,2.007
10,33,1,54.9,9.58,650,6.8346,2.007
10,33,1,54.9,9.58,655,6.8946,2.007
10,33,1,54.9,9.58,660,6.9546,2.007
10,33,1,54.9,9.57,665,7.0146,2.007
10,33,1,54.9,9.6,670,7.0746,2.007
10,33,1,54.9,9.6,675,7.131,2.007
10,33,1,54.9,9.6,680,7.1754,2.007
10,33,1,54.9,9.6,685,7.2222,2.007
10,33,1,54.9,9.6,690,7.2684,2.007
10,33,1,54.9,9.59,695,7.3098,2.007
10,33,1,54.9,9.61,700,7.3584,2.007
10,33,1,54.9,9.61,705,7.4022,2.007
10,33,1,54.9,9.61,710,7.4328,2.007
10,33,1,54.9,9.61,715,7.464,2.007
10,33,1,54.9,9.61,720,7.494,2.007
10,33,1,54.9,9.6,725,7.5228,2.007
10,33,1,54.9,9.63,730,7.5564,2.007
10,33,1,54.9,9.63,735,7.5786,2.007
10,33,1,54.9,9.62,740,7.596,2.007
10,33,1,54.9,9.63,745,7.6128,2.007
10,33,1,54.9,9.63,750,7.6248,2.007
10,33,1,54.9,9.62,755,7.635,2.007
10,33,1,54.9,9.63,760,7.6488,2.007
10,33,1,54.9,9.62,765,7.6608,2.007
10,33,1,54.9,9.63,770,7.6716,2.007
10,33,1,54.9,9.62,775,7.6806,2.007
10,33,1,54.9,9.62,780,7.6908,2.007
10,33,1,54.9,9.62,785,7.7004,2.007
10,33,1,54.9,9.63,790,7.7076,2.007
10,33,1,54.9,9.63,795,7.7106,2.007
10,33,1,54.9,9.63,800,7.7112,2.007
10,33,1,54.9,9.64,805,7.7154,2.007
10,33,1,54.9,9.63,810,7.716,2.007
10,33,1,54.9,9.63,815,7.7166,2.007
10,33,1,54.9,9.63,820,7.7172,2.007
10,33,1,54.9,9.63,825,7.7178,2.007
10,33,1,54.9,9.62,830,7.7184,2.007
10,33,1,54.9,9.62,835,7.719,2.007
10,33,1,54.9,9.62,840,7.7196,2.007
10,33,1,54.9,9.62,845,7.7202,2.007
10,33,1,54.9,9.62,850,7.7208,2.007
10,33,1,54.9,9.62,855,7.7214,2.007
10,33,1,54.9,9.62,860,7.722,2.007
10,33,1,54.9,9.62,865,7.7226,2.007
10,33,1,54.9,9.62,870,7.7232,2.007
10,33,1,54.9,9.61,875,7.7238,2.007
10,33,1,55,9.62,880,7.7244,2.007
10,33,1,54.9,9.62,885,7.725,2.007
10,33,1,54.9,9.61,890,7.7256,2.007
10,33,1,54.9,9.61,895,7.7262,2.007
10,33,1,54.9,9.61,900,7.7268,2.007
10,33,1,54.9,9.61,905,7.7274,2.007
10,33,1,54.9,9.61,910,7.728,2.007
10,33,1,54.9,9.61,915,7.7286,2.007
10,33,1,54.9,9.61,920,7.7292,2.007
10,33,1,54.9,9.61,925,7.7298,2.007
10,33,1,54.9,9.61,930,7.7304,2.007
10,33,1,54.9,9.61,935,7.731,2.007
10,33,1,54.9,9.61,940,7.7316,2.007
10,33,1,54.9,9.61,945,7.7322,2.007
10,33,1,54.9,9.61,950,7.7328,2.007
10,33,1,54.9,9.6,955,7.7334,2.007
10,33,1,54.9,9.61,960,7.734,2.007
10,33,1,54.9,9.61,965,7.7346,2.007
10,33,1,54.9,9.61,970,7.7352,2.007
10,33,1,55,9.61,975,7.7358,2.007
10,33,1,54.9,9.6,980,7.7364,2.007
10,33,1,54.9,9.61,985,7.737,2.007
10,33,1,54.9,9.6,990,7.7376,2.007
10,33,1,55,9.6,995,7.7382,2.007
10,33,1,55,9.6,1000,7.7388,2.007
10,33,1,54.9,9.6,1005,7.7394,2.007
10,33,1,55,9.6,1010,7.74,2.007
10,33,1,54.9,9.6,1015,7.7406,2.007
10,33,1,55,9.61,1020,7.7412,2.007
10,33,1,55,9.6,1025,7.7418,2.007
10,33,1,55,9.6,1030,7.7424,2.007
10,33,1,55,9.6,1035,7.743,2.007
10,33,1,54.9,9.6,1040,7.7436,2.007
