Substrate,Protein,Enzyme,Temperature,pH,Time,Volume,Base
10,5,1,60.291,9.868,0.378,0,2.052
10,5,1,60.291,9.868,0.758,0,2.052
10,5,1,60.291,9.868,0.759,0,2.052
10,5,1,60.291,9.941,2.09,0.121,2.052
10,5,1,60.295,9.896,12.165,0.121,2.052
10,5,1,60.295,9.896,12.166,0.121,2.052
10,5,1,60.295,9.896,12.167,0.121,2.052
10,5,1,60.295,9.896,12.353,0.121,2.052
10,5,1,60.295,9.896,12.354,0.121,2.052
10,5,1,60.295,9.978,13.689,0.243,2.052
10,5,1,60.284,9.925,23.766,0.243,2.052
10,5,1,60.301,9.956,34.792,0.343,2.052
10,5,1,60.275,9.99,45.823,0.443,2.052
10,5,1,60.279,10.015,56.851,0.543,2.052
10,5,1,60.279,10.016,57.04,0.543,2.052
10,5,1,60.279,10.015,57.229,0.543,2.052
10,5,1,60.279,10.017,62.049,0.543,2.052
10,5,1,60.279,10.015,67.05,0.543,2.052
10,5,1,60.279,10.011,72.052,0.543,2.052
10,5,1,60.279,10.007,77.054,0.543,2.052
10,5,1,60.279,10.004,82.056,0.543,2.052
10,5,1,60.279,10.001,87.057,0.543,2.052
10,5,1,60.282,10.117,92.058,0.643,2.052
10,5,1,60.282,10.027,97.063,0.643,2.052
10,5,1,60.282,10.029,102.064,0.643,2.052
10,5,1,60.282,10.028,107.066,0.643,2.052
10,5,1,60.282,10.031,112.067,0.643,2.052
10,5,1,60.282,10.022,117.069,0.643,2.052
10,5,1,60.282,10.02,122.07,0.643,2.052
10,5,1,60.282,10.016,127.072,0.643,2.052
10,5,1,60.282,10.013,132.074,0.643,2.052
10,5,1,60.282,10.011,137.075,0.643,2.052
10,5,1,60.282,10.01,142.076,0.643,2.052
10,5,1,60.282,10.008,147.077,0.643,2.052
10,5,1,60.282,10.007,152.078,0.643,2.052
10,5,1,60.282,10.007,157.079,0.643,2.052
10,5,1,60.282,10.004,162.08,0.643,2.052
10,5,1,60.282,10.002,167.082,0.643,2.052
10,5,1,60.288,10.176,172.084,0.743,2.052
10,5,1,60.288,10.028,177.085,0.743,2.052
10,5,1,60.288,10.031,182.087,0.743,2.052
10,5,1,60.288,10.025,187.088,0.743,2.052
10,5,1,60.288,10.026,192.09,0.743,2.052
10,5,1,60.288,10.024,197.092,0.743,2.052
10,5,1,60.288,10.02,202.093,0.743,2.052
10,5,1,60.288,10.022,207.094,0.743,2.052
10,5,1,60.288,10.018,212.095,0.743,2.052
10,5,1,60.288,10.016,217.096,0.743,2.052
10,5,1,60.288,10.012,222.097,0.743,2.052
10,5,1,60.288,10.01,227.099,0.743,2.052
10,5,1,60.288,10.009,232.1,0.743,2.052
10,5,1,60.288,10.005,237.102,0.743,2.052
10,5,1,60.288,10.001,242.105,0.743,2.052
10,5,1,60.288,10.002,247.108,0.743,2.052
10,5,1,60.288,10.001,252.109,0.743,2.052
10,5,1,60.234,10.043,257.111,0.843,2.052
10,5,1,60.234,10.032,262.113,0.843,2.052
10,5,1,60.234,10.036,267.114,0.843,2.052
10,5,1,60.234,10.033,272.116,0.843,2.052
10,5,1,60.234,10.032,277.118,0.843,2.052
10,5,1,60.234,10.03,282.119,0.843,2.052
10,5,1,60.234,10.028,287.12,0.843,2.052
10,5,1,60.234,10.026,292.122,0.843,2.052
10,5,1,60.234,10.023,297.125,0.843,2.052
10,5,1,60.234,10.023,302.126,0.843,2.052
10,5,1,60.234,10.019,307.128,0.843,2.052
10,5,1,60.234,10.018,312.129,0.843,2.052
10,5,1,60.234,10.015,317.13,0.843,2.052
10,5,1,60.234,10.014,322.132,0.843,2.052
10,5,1,60.234,10.013,327.133,0.843,2.052
10,5,1,60.234,10.01,332.135,0.843,2.052
10,5,1,60.234,10.01,337.136,0.843,2.052
10,5,1,60.234,10.008,342.138,0.843,2.052
10,5,1,60.234,10.006,347.141,0.843,2.052
10,5,1,60.234,10.006,352.143,0.843,2.052
10,5,1,60.234,10.005,357.144,0.843,2.052
10,5,1,60.234,10.004,362.146,0.843,2.052
10,5,1,60.234,10.004,367.147,0.843,2.052
10,5,1,60.234,10.003,372.148,0.843,2.052
10,5,1,60.234,10.004,377.15,0.843,2.052
10,5,1,60.234,10.004,382.151,0.843,2.052
10,5,1,60.234,10.001,387.153,0.843,2.052
10,5,1,60.145,10.067,392.155,0.943,2.052
10,5,1,60.145,10.033,397.156,0.943,2.052
10,5,1,60.145,10.035,402.157,0.943,2.052
10,5,1,60.145,10.034,407.159,0.943,2.052
10,5,1,60.145,10.033,412.16,0.943,2.052
10,5,1,60.145,10.031,417.161,0.943,2.052
10,5,1,60.145,10.031,422.162,0.943,2.052
10,5,1,60.145,10.029,427.164,0.943,2.052
10,5,1,60.145,10.027,432.166,0.943,2.052
10,5,1,60.145,10.026,437.168,0.943,2.052
10,5,1,60.145,10.025,442.17,0.943,2.052
10,5,1,60.145,10.024,447.171,0.943,2.052
10,5,1,60.145,10.02,452.172,0.943,2.052
10,5,1,60.145,10.02,457.174,0.943,2.052
10,5,1,60.145,10.018,462.175,0.943,2.052
10,5,1,60.145,10.016,467.176,0.943,2.052
10,5,1,60.145,10.015,472.178,0.943,2.052
10,5,1,60.145,10.014,477.179,0.943,2.052
10,5,1,60.145,10.012,482.18,0.943,2.052
10,5,1,60.145,10.012,487.182,0.943,2.052
10,5,1,60.145,10.011,492.183,0.943,2.052
10,5,1,60.145,10.009,497.184,0.943,2.052
10,5,1,60.145,10.009,502.187,0.943,2.052
10,5,1,60.145,10.008,507.189,0.943,2.052
10,5,1,60.145,10.008,512.19,0.943,2.052
10,5,1,60.145,10.007,517.191,0.943,2.052
10,5,1,60.145,10.006,522.192,0.943,2.052
10,5,1,60.145,10.005,527.194,0.943,2.052
10,5,1,60.145,10.004,532.195,0.943,2.052
10,5,1,60.145,10.003,537.196,0.943,2.052
10,5,1,60.145,10.003,542.197,0.943,2.052
10,5,1,60.145,10.001,547.198,0.943,2.052
10,5,1,60.145,10,552.2,0.943,2.052
10,5,1,60.13,10.168,557.202,1.043,2.052
10,5,1,60.13,10.022,562.203,1.043,2.052
10,5,1,60.13,10.031,567.205,1.043,2.052
10,5,1,60.13,10.029,572.207,1.043,2.052
10,5,1,60.13,10.026,577.21,1.043,2.052
10,5,1,60.13,10.023,582.211,1.043,2.052
10,5,1,60.13,10.023,587.215,1.043,2.052
10,5,1,60.13,10.023,592.216,1.043,2.052
10,5,1,60.13,10.022,597.218,1.043,2.052
10,5,1,60.13,10.02,602.22,1.043,2.052
10,5,1,60.13,10.02,607.221,1.043,2.052
10,5,1,60.13,10.018,612.222,1.043,2.052
10,5,1,60.13,10.018,617.223,1.043,2.052
10,5,1,60.13,10.017,622.224,1.043,2.052
10,5,1,60.13,10.018,627.226,1.043,2.052
10,5,1,60.13,10.015,632.227,1.043,2.052
10,5,1,60.13,10.016,637.229,1.043,2.052
10,5,1,60.13,10.017,642.23,1.043,2.052
