Substrate,Protein,Enzyme,Temperature,pH,Time,Volume,Base,
30,15,1,60.219,9.931,0.378,0,2.052,0.0063
30,15,1,60.22,9.915,10.644,0,2.052,0.1774
30,15,1,60.225,9.912,21.675,0.1,2.052,0.36125
30,15,1,60.152,9.918,43.732,0.3,2.052,0.728866667
30,15,1,60.126,9.929,65.798,0.5,2.052,1.096633333
30,15,1,60.104,9.943,87.851,0.7,2.052,1.464183333
30,15,1,60.104,9.962,109.908,0.9,2.052,1.8318
30,15,1,60.131,9.977,131.97,1.1,2.052,2.1995
30,15,1,60.282,9.999,154.028,1.3,2.052,2.567133333
30,15,1,60.159,9.999,180.255,1.479,2.052,3.00425
30,15,1,60.224,10.01,230.268,1.6,2.052,3.8378
30,15,1,60.34,10.006,270.282,1.7,2.052,4.5047
30,15,1,60.222,10.009,325.3,1.8,2.052,5.421666667
30,15,1,60.222,10,365.317,1.9,2.052,6.088616667
30,15,1,60.374,10.003,430.34,2,2.052,7.172333333
30,15,1,60.374,10,520.37,2.095,2.052,8.672833333
30,15,1,60.408,10.011,525.372,2.1,2.052,8.7562
30,15,1,60.329,10.013,625.396,2.2,2.052,10.42326667
30,15,1,60.463,10.017,740.433,2.4,2.052,12.34055
30,15,1,60.315,10.009,1005.52,2.5,2.052,16.75866667
30,15,1,60.471,10.003,1150.57,2.6,2.052,19.17616667
30,15,1,60.558,10.006,1300.622,2.7,2.052,21.67703333
30,15,1,60.473,10.011,1500.68,2.8,2.052,25.01133333
30,15,1,60.6,10.007,1705.736,2.9,2.052,28.42893333
30,15,1,60.605,10.006,1910.798,3,2.052,31.84663333
30,15,1,60.638,10.004,2120.864,3.1,2.052,35.34773333
30,15,1,60.513,10.003,2395.94,3.2,2.052,39.93233333
30,15,1,60.513,10,2540.984,3.3,2.052,42.34973333
30,15,1,60.631,10.009,2851.077,3.4,2.052,47.51795
30,15,1,60.57,10.012,3061.138,3.5,2.052,51.01896667
30,15,1,60.702,10.008,3291.209,3.6,2.052,54.85348333
30,15,1,60.654,10.012,3571.303,3.7,2.052,59.52171667
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,15,1,60.654,10.003,3765.385,3.7,2.052,62.75641667
