Substrate,Enzyme,Time,alphaNH
30,3,0,0.0
30,3,15,0.21568204398447094
30,3,20,0.5191564035234323
30,3,25,0.8509100077262111
30,3,30,1.1723078912218619
30,3,35,1.584596717963247
30,3,40,2.0064743993437197
30,3,45,2.42862344191551
30,3,50,2.829191403243022
30,3,55,3.1934450968528885
30,3,60,3.5830233958123254
30,3,65,3.94094586484859
30,3,70,4.335723946120545
30,3,75,4.681771603879826
30,3,80,4.994525790951037
30,3,85,5.287775306075983
30,3,90,5.5705232712469535
30,3,95,5.896215544711481
30,3,100,6.229549613719787
30,3,105,6.5006859970908595
30,3,110,6.759950684425171
30,3,115,6.966015129817902
30,3,120,7.199312514470853
30,3,125,7.472961654112178
30,3,130,7.716619107754528
30,3,135,7.898927637953333
30,3,140,8.077267921079503
30,3,145,8.264552215593717
30,3,150,8.486034059162264
30,3,155,8.736559252203552
30,3,160,8.97952266130307
30,3,165,9.182233493065
30,3,170,9.345848032406803
30,3,175,9.479219260211696
30,3,180,9.646828413378488
30,3,185,9.846140454213485
30,3,190,10.028559212955454
30,3,195,10.149161682676471
30,3,200,10.244884624872576
30,3,205,10.37923055676321
30,3,210,10.53021651935245
30,3,215,10.701571596433583
30,3,220,10.855487338704865
30,3,225,10.954583770673484
30,3,230,11.042716200460626
30,3,235,11.153619865748936
30,3,240,11.283880935867716
30,3,245,11.430668195791023
30,3,250,11.544142075596152
30,3,255,11.620005634048308
30,3,260,11.716571948871469
30,3,265,11.827053930150344
30,3,270,11.951873267778385
30,3,275,12.094403457367163
30,3,280,12.210734066175345
30,3,285,12.2735564580206
30,3,290,12.353740929564497
30,3,295,12.45115061829055
30,3,300,12.562475973472317
30,3,305,12.689702123073708
30,3,310,12.800913501877702
30,3,315,12.80733600030346
30,3,320,12.851606818363297
30,3,325,12.932295254686789
30,3,330,13.021692887202558
30,3,335,13.130301966318912
30,3,340,13.242454696491695
30,3,345,13.292206659500675
30,3,350,13.341115368899333
30,3,355,13.405202643283783
30,3,360,13.475849730802507
30,3,365,13.564999205381328
30,3,370,13.641941562808539
30,3,375,13.67209241389218
30,3,380,13.710038826356659
30,3,385,13.765271934891139
30,3,390,13.832310599853301
30,3,395,13.910901968156866
30,3,400,13.977088152351474
30,3,405,14.004755960222495
30,3,410,14.03679959741472
30,3,415,14.091189458222056
30,3,420,14.151903534034945
30,3,425,14.222188966234086
30,3,430,14.250264238034413
30,3,435,14.257310233953708
30,3,440,14.289775680511225
30,3,445,14.342479034097918
30,3,450,14.40566925164314
30,3,455,14.479731936429024
30,3,470,14.51408095201423
30,3,475,14.57097053220763
30,3,480,14.63042839372003
30,3,485,14.703391579315598
30,3,490,14.738861398446762
30,3,495,14.745554067977428
30,3,500,14.765370524620566
30,3,505,14.802052059133883
30,3,510,14.85982608919728
30,3,515,14.927275215695788
30,3,520,14.968173018205857
30,3,525,14.98503809019286
30,3,530,15.0132870828295
30,3,535,15.044487466005455
30,3,540,15.089180103096181
30,3,545,15.147364405126169
30,3,550,15.200067758027142
30,3,555,15.232533216850864
30,3,560,15.271322684230636
30,3,565,15.320729911910853
30,3,570,15.3873566533038
30,3,575,15.477919816071415
30,3,580,15.547909864817475
30,3,585,15.571099341741194
30,3,590,15.595553696122348
30,3,595,15.622959435159634
30,3,600,15.65668978284267
30,3,605,15.698852259101146
30,3,610,15.740593315210566
30,3,615,15.765469293449806
30,3,620,15.795405004682175
30,3,625,15.8465737402537
30,3,630,15.900127767767
30,3,635,15.967428533435747
30,3,640,16.007781163029012
30,3,650,16.036996952440543
30,3,655,16.078079870571862
30,3,660,16.123622060721406
30,3,665,16.17697726041115
30,3,670,16.197215136317066
30,3,675,16.22377762763818
30,3,680,16.268260469517173
