Substrate,Protein,Enzyme,Temperature,pH,Time,Volume,Base
4.4118,14.5797,3,56,10.4,0,0,1.9568
4.4118,14.5797,3,56,10.38,5,0,1.9568
4.4118,14.5797,3,56,10.37,10,0,1.9568
4.4118,14.5797,3,56,10.36,15,0,1.9568
4.4118,14.5797,3,56,10.35,20,0,1.9568
4.4118,14.5797,3,56,10.32,25,0,1.9568
4.4118,14.5797,3,56,10.28,30,0,1.9568
4.4118,14.5797,3,56,10.28,35,0,1.9568
4.4118,14.5797,3,56,10.28,40,0,1.9568
4.4118,14.5797,3,56,10.26,45,0,1.9568
4.4118,14.5797,3,56,10.29,50,0,1.9568
4.4118,14.5797,3,56,10.29,55,0,1.9568
4.4118,14.5797,3,56,10.11,60,0,1.9568
4.4118,14.5797,3,56,10.01,65,0,1.9568
4.4118,14.5797,3,56,9.97,70,0,1.9568
4.4118,14.5797,3,56,9.97,75,0,1.9568
4.4118,14.5797,3,56,9.97,80,0,1.9568
4.4118,14.5797,3,55.9,9.95,85,0,1.9568
4.4118,14.5797,3,55.9,9.96,90,0.41672094,1.9568
4.4118,14.5797,3,55.9,9.9,95,0.5272206,1.9568
4.4118,14.5797,3,55.9,9.91,100,1.09488552,1.9568
4.4118,14.5797,3,55.9,10.22,105,1.61127282,1.9568
4.4118,14.5797,3,55.9,10.23,110,1.61127282,1.9568
4.4118,14.5797,3,55.9,10.12,115,1.61127282,1.9568
4.4118,14.5797,3,55.9,10.11,120,1.61127282,1.9568
4.4118,14.5797,3,55.9,10.08,125,1.61127282,1.9568
4.4118,14.5797,3,55.9,10.05,130,1.61127282,1.9568
4.4118,14.5797,3,55.9,9.95,135,1.61127282,1.9568
4.4118,14.5797,3,55.9,9.94,140,1.61127282,1.9568
4.4118,14.5797,3,55.9,10.05,145,1.77955008,1.9568
4.4118,14.5797,3,55.9,10.01,150,1.77955008,1.9568
4.4118,14.5797,3,55.9,9.97,155,1.77955008,1.9568
4.4118,14.5797,3,55.9,9.93,160,1.77955008,1.9568
4.4118,14.5797,3,55.9,10.04,165,2.02871598,1.9568
4.4118,14.5797,3,56,10.08,170,2.02871598,1.9568
4.4118,14.5797,3,55.9,10.14,175,2.02871598,1.9568
4.4118,14.5797,3,56,10.1,180,2.02871598,1.9568
4.4118,14.5797,3,56,10.08,185,2.02871598,1.9568
4.4118,14.5797,3,56,10.08,190,2.02871598,1.9568
4.4118,14.5797,3,56,10.05,195,2.02871598,1.9568
4.4118,14.5797,3,56,10.03,200,2.02871598,1.9568
4.4118,14.5797,3,55.9,10.01,205,2.02871598,1.9568
4.4118,14.5797,3,56,9.99,210,2.02871598,1.9568
4.4118,14.5797,3,56,10.01,215,2.02871598,1.9568
4.4118,14.5797,3,56,10.02,220,2.02871598,1.9568
4.4118,14.5797,3,56,10.01,225,2.02871598,1.9568
4.4118,14.5797,3,56,10.03,230,2.02871598,1.9568
4.4118,14.5797,3,56,10,235,2.02871598,1.9568
4.4118,14.5797,3,56,10.08,240,2.02871598,1.9568
4.4118,14.5797,3,56,10.04,245,2.02871598,1.9568
4.4118,14.5797,3,56,10.08,250,2.02871598,1.9568
4.4118,14.5797,3,56,10.11,255,2.02871598,1.9568
4.4118,14.5797,3,56,10.1,260,2.02871598,1.9568
4.4118,14.5797,3,56,10.09,265,2.02871598,1.9568
4.4118,14.5797,3,56,10.09,270,2.02871598,1.9568
4.4118,14.5797,3,56,10.06,275,2.02871598,1.9568
4.4118,14.5797,3,56,10.01,280,2.02871598,1.9568
4.4118,14.5797,3,56,9.98,285,2.02871598,1.9568
4.4118,14.5797,3,56,10.01,290,2.02871598,1.9568
4.4118,14.5797,3,56,9.94,295,2.02871598,1.9568
4.4118,14.5797,3,56,9.94,300,2.02871598,1.9568
4.4118,14.5797,3,56,9.92,305,2.1088824,1.9568
4.4118,14.5797,3,56,9.94,310,2.36238162,1.9568
4.4118,14.5797,3,56,9.94,315,2.45843688,1.9568
4.4118,14.5797,3,56,9.97,320,2.72132496,1.9568
4.4118,14.5797,3,56,10.28,325,2.72132496,1.9568
4.4118,14.5797,3,56,10.07,330,2.72132496,1.9568
4.4118,14.5797,3,56,10.01,335,2.72132496,1.9568
4.4118,14.5797,3,56,9.98,340,2.72132496,1.9568
4.4118,14.5797,3,56,9.94,345,2.72132496,1.9568
4.4118,14.5797,3,56,9.93,350,2.72132496,1.9568
4.4118,14.5797,3,56,9.95,355,2.8961022,1.9568
4.4118,14.5797,3,56,9.99,360,3.02682402,1.9568
4.4118,14.5797,3,56,10.02,365,3.02682402,1.9568
4.4118,14.5797,3,56,9.97,370,3.02682402,1.9568
4.4118,14.5797,3,56,9.96,375,3.02682402,1.9568
4.4118,14.5797,3,56,9.9,380,3.02682402,1.9568
4.4118,14.5797,3,56,9.93,385,3.4233228,1.9568
4.4118,14.5797,3,56,10.05,390,3.85376592,1.9568
4.4118,14.5797,3,56,10.01,395,3.85376592,1.9568
4.4118,14.5797,3,56,10.04,400,3.85376592,1.9568
4.4118,14.5797,3,56,10.07,405,3.85376592,1.9568
4.4118,14.5797,3,56,10.08,410,3.85376592,1.9568
4.4118,14.5797,3,56,10.09,415,3.85376592,1.9568
4.4118,14.5797,3,56,10.07,420,3.85376592,1.9568
4.4118,14.5797,3,56,10.07,425,3.85376592,1.9568
4.4118,14.5797,3,56,10.07,430,3.85376592,1.9568
4.4118,14.5797,3,56,10.08,435,3.85376592,1.9568
4.4118,14.5797,3,56,10.07,440,3.85376592,1.9568
