Substrate,Protein,Enzyme,Temperature,pH,Time,Volume,Base
40,20,1,60.208,10.009,0.378,0,2.052
40,20,1,60.208,10.009,0.758,0,2.052
40,20,1,60.212,10,5.574,0.0004,2.052
40,20,1,60.21,10.007,10.576,0.2,2.052
40,20,1,60.21,10.009,15.579,0.2,2.052
40,20,1,60.21,10.003,20.58,0.2,2.052
40,20,1,60.25,9.999,25.581,0.329,2.052
40,20,1,60.261,10.011,30.584,0.4,2.052
40,20,1,60.261,10.011,35.586,0.4,2.052
40,20,1,60.261,10.007,40.587,0.4,2.052
40,20,1,60.261,10.005,45.588,0.4,2.052
40,20,1,60.261,10,50.589,0.416,2.052
40,20,1,60.298,10.013,55.591,0.6,2.052
40,20,1,60.298,10.014,60.592,0.6,2.052
40,20,1,60.298,10.012,65.593,0.6,2.052
40,20,1,60.298,10.008,70.594,0.6,2.052
40,20,1,60.298,10.005,75.595,0.6,2.052
40,20,1,60.298,10.003,80.596,0.6,2.052
40,20,1,60.298,10.001,85.598,0.6,2.052
40,20,1,60.282,10.017,90.601,0.8,2.052
40,20,1,60.282,10.017,95.602,0.8,2.052
40,20,1,60.282,10.017,100.603,0.8,2.052
40,20,1,60.282,10.015,105.606,0.8,2.052
40,20,1,60.282,10.012,110.607,0.8,2.052
40,20,1,60.282,10.009,115.608,0.8,2.052
40,20,1,60.282,10.007,120.609,0.8,2.052
40,20,1,60.282,10.004,125.61,0.8,2.052
40,20,1,60.282,10,130.611,0.8,2.052
40,20,1,60.306,10.007,135.612,0.9,2.052
40,20,1,60.306,10.009,140.614,0.9,2.052
40,20,1,60.306,10.008,145.617,0.9,2.052
40,20,1,60.306,10.006,150.618,0.9,2.052
40,20,1,60.306,10.005,155.62,0.9,2.052
40,20,1,60.306,10.004,160.621,0.9,2.052
40,20,1,60.306,10.002,165.623,0.9,2.052
40,20,1,60.306,10,170.624,0.958,2.052
40,20,1,60.292,10.008,175.625,1,2.052
40,20,1,60.292,10.008,180.627,1,2.052
40,20,1,60.292,10.006,185.628,1,2.052
40,20,1,60.292,10.004,190.63,1,2.052
40,20,1,60.292,10.003,195.632,1,2.052
40,20,1,60.292,10.003,200.634,1,2.052
40,20,1,60.292,10.001,205.636,1,2.052
40,20,1,60.344,10.008,210.637,1.1,2.052
40,20,1,60.344,10.008,215.639,1.1,2.052
40,20,1,60.344,10.008,220.64,1.1,2.052
40,20,1,60.344,10.006,225.642,1.1,2.052
40,20,1,60.344,10.006,230.643,1.1,2.052
40,20,1,60.344,10.003,235.645,1.1,2.052
40,20,1,60.344,10.002,240.646,1.1,2.052
40,20,1,60.344,10.001,245.648,1.1,2.052
40,20,1,60.419,10.006,250.649,1.2,2.052
40,20,1,60.419,10.008,255.651,1.2,2.052
40,20,1,60.419,10.008,260.653,1.2,2.052
40,20,1,60.419,10.005,265.654,1.2,2.052
40,20,1,60.419,10.003,270.655,1.2,2.052
40,20,1,60.419,10.004,275.656,1.2,2.052
40,20,1,60.419,10.001,280.657,1.2,2.052
40,20,1,60.419,10.001,285.659,1.2,2.052
40,20,1,60.4,10.007,290.66,1.3,2.052
40,20,1,60.4,10.01,295.662,1.3,2.052
40,20,1,60.4,10.008,300.663,1.3,2.052
40,20,1,60.4,10.008,305.665,1.3,2.052
40,20,1,60.4,10.006,310.666,1.3,2.052
40,20,1,60.4,10.005,315.668,1.3,2.052
40,20,1,60.4,10.005,320.67,1.3,2.052
40,20,1,60.4,10.004,325.672,1.3,2.052
40,20,1,60.4,10.005,330.673,1.3,2.052
40,20,1,60.4,10.004,335.674,1.3,2.052
40,20,1,60.4,10.003,340.675,1.3,2.052
40,20,1,60.4,10.003,345.676,1.3,2.052
40,20,1,60.4,10.002,350.677,1.3,2.052
40,20,1,60.4,10.002,355.678,1.3,2.052
40,20,1,60.4,10.001,360.681,1.3,2.052
40,20,1,60.481,10.006,365.682,1.4,2.052
40,20,1,60.481,10.009,370.683,1.4,2.052
40,20,1,60.481,10.01,375.685,1.4,2.052
40,20,1,60.481,10.009,380.687,1.4,2.052
40,20,1,60.481,10.008,385.688,1.4,2.052
40,20,1,60.481,10.006,390.69,1.4,2.052
40,20,1,60.481,10.004,395.692,1.4,2.052
40,20,1,60.481,10.006,400.695,1.4,2.052
40,20,1,60.481,10.004,405.696,1.4,2.052
40,20,1,60.481,10.004,410.697,1.4,2.052
40,20,1,60.481,10.003,415.698,1.4,2.052
40,20,1,60.481,10.002,420.699,1.4,2.052
40,20,1,60.481,10.001,425.701,1.4,2.052
40,20,1,60.481,10,430.703,1.425,2.052
40,20,1,60.485,10.009,435.704,1.5,2.052
40,20,1,60.485,10.01,440.705,1.5,2.052
40,20,1,60.485,10.01,445.706,1.5,2.052
40,20,1,60.485,10.008,450.707,1.5,2.052
40,20,1,60.485,10.008,455.708,1.5,2.052
