Substrate,Protein,Enzyme,Temperature,pH,Time,Volume,Base
8,26.4,1.6,59.8,10.02,0,0,1.9896
8,26.4,1.6,59.8,9.95,5,0,1.9896
8,26.4,1.6,59.8,9.92,10,0,1.9896
8,26.4,1.6,59.8,9.89,15,0,1.9896
8,26.4,1.6,59.7,9.86,20,0,1.9896
8,26.4,1.6,59.7,9.86,25,0,1.9896
8,26.4,1.6,59.7,9.83,30,0,1.9896
8,26.4,1.6,59.7,9.81,35,0,1.9896
8,26.4,1.6,59.7,9.82,40,0,1.9896
8,26.4,1.6,59.7,9.8,45,0,1.9896
8,26.4,1.6,59.7,9.79,50,0.0007,1.9896
8,26.4,1.6,59.7,9.78,55,0.0014,1.9896
8,26.4,1.6,59.7,9.73,60,0.0021,1.9896
8,26.4,1.6,59.7,9.75,65,0.0028,1.9896
8,26.4,1.6,59.7,9.76,70,0.0035,1.9896
8,26.4,1.6,59.7,9.75,75,0.0042,1.9896
8,26.4,1.6,59.7,9.69,80,0.3227,1.9896
8,26.4,1.6,59.7,9.75,85,0.3234,1.9896
8,26.4,1.6,59.7,9.9,90,0.3241,1.9896
8,26.4,1.6,59.7,9.85,95,0.3248,1.9896
8,26.4,1.6,59.8,9.5,100,1.0248,1.9896
8,26.4,1.6,59.7,9.53,105,1.7248,1.9896
8,26.4,1.6,59.7,9.78,110,2.4248,1.9896
8,26.4,1.6,59.8,9.8,115,3.1248,1.9896
8,26.4,1.6,59.8,9.87,120,3.8248,1.9896
8,26.4,1.6,59.8,9.8,125,4.5248,1.9896
8,26.4,1.6,59.8,9.91,130,5.2248,1.9896
8,26.4,1.6,59.7,9.91,135,5.9248,1.9896
8,26.4,1.6,59.8,9.9,140,6.6248,1.9896
8,26.4,1.6,59.7,10.03,145,6.6255,1.9896
8,26.4,1.6,59.8,10.15,150,6.6262,1.9896
8,26.4,1.6,59.7,10.14,155,6.6269,1.9896
8,26.4,1.6,59.8,10.17,160,6.6276,1.9896
8,26.4,1.6,59.8,10.14,165,6.6283,1.9896
8,26.4,1.6,59.8,10.14,170,6.629,1.9896
8,26.4,1.6,59.8,10.15,175,6.6297,1.9896
8,26.4,1.6,59.8,10.15,180,6.6304,1.9896
8,26.4,1.6,59.8,10.16,185,6.6304,1.9896
8,26.4,1.6,59.8,10.14,190,6.6304,1.9896
8,26.4,1.6,59.8,10.16,195,6.6304,1.9896
8,26.4,1.6,59.8,10.17,200,6.6304,1.9896
8,26.4,1.6,59.8,10.14,205,6.6304,1.9896
8,26.4,1.6,59.8,10.12,210,6.6304,1.9896
8,26.4,1.6,59.8,10.1,215,6.6304,1.9896
8,26.4,1.6,59.8,10.09,220,6.6304,1.9896
8,26.4,1.6,59.8,10.1,225,6.6304,1.9896
8,26.4,1.6,59.8,10.1,230,6.6304,1.9896
8,26.4,1.6,59.8,10.09,235,6.6304,1.9896
8,26.4,1.6,59.9,10.11,240,6.6304,1.9896
8,26.4,1.6,59.9,10.1,245,6.6304,1.9896
8,26.4,1.6,59.8,10.11,250,6.6304,1.9896
8,26.4,1.6,59.8,10.09,255,6.6304,1.9896
8,26.4,1.6,59.9,10.11,260,6.6304,1.9896
8,26.4,1.6,59.8,10.11,265,6.6304,1.9896
8,26.4,1.6,59.9,10.09,270,6.6304,1.9896
8,26.4,1.6,59.9,10.07,275,6.6304,1.9896
8,26.4,1.6,59.9,10.08,280,6.6304,1.9896
8,26.4,1.6,59.9,10.09,285,6.6304,1.9896
8,26.4,1.6,59.9,10.08,290,6.6304,1.9896
8,26.4,1.6,59.9,10.1,295,6.6304,1.9896
8,26.4,1.6,59.9,10.09,300,6.6304,1.9896
8,26.4,1.6,59.9,10.13,305,6.6304,1.9896
8,26.4,1.6,59.9,10.1,310,6.6304,1.9896
8,26.4,1.6,59.9,10.09,315,6.6304,1.9896
8,26.4,1.6,59.9,9.98,320,6.6339,1.9896
8,26.4,1.6,59.9,10.01,325,6.6339,1.9896
8,26.4,1.6,59.9,10.04,330,6.6339,1.9896
8,26.4,1.6,59.9,10.04,335,6.6339,1.9896
8,26.4,1.6,59.9,10.03,340,6.6339,1.9896
8,26.4,1.6,59.9,10.04,345,6.6339,1.9896
8,26.4,1.6,60,10.04,350,6.6339,1.9896
8,26.4,1.6,59.9,10.02,355,6.6339,1.9896
8,26.4,1.6,60,10.03,360,6.6339,1.9896
8,26.4,1.6,60,10.02,365,6.6339,1.9896
8,26.4,1.6,60,10.04,370,6.6339,1.9896
8,26.4,1.6,60,10.05,375,6.6339,1.9896
8,26.4,1.6,60,10.06,380,6.6339,1.9896
8,26.4,1.6,60,10.07,385,6.6339,1.9896
8,26.4,1.6,60,10.08,390,6.6339,1.9896
8,26.4,1.6,59.9,10.06,395,6.6339,1.9896
8,26.4,1.6,60,9.98,400,6.6339,1.9896
8,26.4,1.6,60,9.91,405,6.9566,1.9896
8,26.4,1.6,60,10,410,6.9566,1.9896
8,26.4,1.6,60,10.03,415,6.9566,1.9896
8,26.4,1.6,60,10.01,420,6.9566,1.9896
8,26.4,1.6,60,10.02,425,6.9566,1.9896
8,26.4,1.6,60,10.05,430,6.9566,1.9896
8,26.4,1.6,60,10.05,435,6.9566,1.9896
8,26.4,1.6,60,10.07,440,6.9566,1.9896
8,26.4,1.6,60,10.07,445,6.9566,1.9896
8,26.4,1.6,60,10.06,450,6.9566,1.9896
8,26.4,1.6,59.9,10.08,455,6.9566,1.9896
8,26.4,1.6,60,10.1,460,6.9566,1.9896
8,26.4,1.6,60,10.09,465,6.9566,1.9896
8,26.4,1.6,60,10.09,470,6.9566,1.9896
8,26.4,1.6,60,10.09,475,6.9566,1.9896
8,26.4,1.6,60,10.08,480,6.9566,1.9896
8,26.4,1.6,60,10.09,485,6.9566,1.9896
8,26.4,1.6,60,10.09,490,6.9566,1.9896
8,26.4,1.6,60,10.09,495,6.9566,1.9896
8,26.4,1.6,60,10.1,500,6.9566,1.9896
8,26.4,1.6,60,10.09,505,6.9566,1.9896
8,26.4,1.6,59.9,10.08,510,6.9566,1.9896
8,26.4,1.6,60,10.07,515,6.9566,1.9896
8,26.4,1.6,60,10.07,520,6.9566,1.9896
8,26.4,1.6,60,10.08,525,6.9566,1.9896
8,26.4,1.6,60,10.1,530,6.9566,1.9896
8,26.4,1.6,60,10.1,535,6.9566,1.9896
8,26.4,1.6,59.9,10.09,540,6.9566,1.9896
8,26.4,1.6,60,10.09,545,6.9566,1.9896
8,26.4,1.6,60,10.08,550,6.9566,1.9896
8,26.4,1.6,60,10.09,555,6.9566,1.9896
8,26.4,1.6,60,10.09,560,6.9566,1.9896
8,26.4,1.6,60,10.08,565,6.9566,1.9896
8,26.4,1.6,60,10.07,570,6.9566,1.9896
8,26.4,1.6,60,10.08,575,6.9566,1.9896
8,26.4,1.6,60,10.08,580,6.9566,1.9896
8,26.4,1.6,60,10.08,585,6.9566,1.9896
8,26.4,1.6,59.9,10.07,590,6.9566,1.9896
8,26.4,1.6,59.9,10.07,595,6.9566,1.9896
